"type","name","site","psky_bn","sample","sgrs__L","spctrlc","remark","SPC","NDVI","SHSI"
"grid","NG 1","natural",NA,"no",NA,NA,NA,41.896068572998,0.372405380010605,-0.0424034409224987
"grid","NG 2","natural",NA,"no",NA,NA,NA,14.9915504455566,0.216038301587105,-0.0498431958258152
"grid","NG 3","natural",NA,"no",NA,NA,NA,38.2018928527832,0.350935101509094,-0.0436873994767666
"grid","NG 4","natural",NA,"no",NA,NA,NA,38.4224128723145,0.352216750383377,-0.0871677845716476
"grid","NG 5","natural",139,"sample",NA,NA,NA,25.6591129302979,0.278037369251251,-0.060424268245697
"grid","NG 6","natural",140,"sample",NA,NA,NA,68.7293167114258,0.528358221054077,-0.0176191404461861
"grid","NG 7","natural",141,"sample",NA,NA,NA,61.5129470825195,0.486417233943939,-0.0743478834629059
"grid","NG 8","natural",142,"sample",NA,NA,NA,36.1935958862305,0.339263021945953,-0.111687533557415
"grid","NG 9","natural",NA,"marsh",NA,NA,NA,62.029899597168,0.489421725273132,-0.00286881742067635
"grid","NG 10","natural",137,"sample",NA,NA,NA,65.9685592651367,0.512312889099121,-0.0285410992801189
"grid","NG 11","natural",135,"sample",NA,NA,NA,47.0024566650391,0.402083337306976,-0.0356188528239727
"grid","NG 12","natural",132,"sample",100,"AVI2 401-420",NA,54.7307243347168,0.446999430656433,-0.0682280361652374
"grid","NG 13","natural",126,"sample",NA,NA,NA,66.1587677001953,0.51341837644577,-0.0106229996308684
"grid","NG 14","natural",128,"sample",NA,NA,NA,62.3638763427734,0.491362750530243,-0.0342233926057816
"grid","NG 15","natural",129,"sample",100,"AVI2 341-360",NA,62.1244697570801,0.489971339702606,-0.0227122139185667
"grid","NG 16","natural",131,"sample",100,"AVI2 381-400",NA,32.9603424072266,0.320471584796906,-0.0590914115309715
"grid","NG 17","natural",90,"sample",NA,NA,NA,42.4749908447266,0.375770032405853,-0.0743298381567001
"grid","NG 18","natural",118,"sample",100,"AVI2 301-320",NA,63.6949920654297,0.499099105596542,-0.0281862989068031
"grid","NG 19","natural",116,"sample",NA,NA,NA,66.7879486083984,0.51707512140274,-0.00367092713713646
"grid","NG 20","natural",115,"sample",NA,NA,NA,62.6633796691895,0.493103444576263,-0.0194000154733658
"grid","NG 21","natural",89,"marsh",NA,NA,NA,64.2129974365234,0.502109706401825,-0.0616750344634056
"grid","NG 22","natural",92,"sample",NA,NA,NA,63.6011199951172,0.498553514480591,-0.0389890074729919
"grid","NG 23","natural",111,"sample",NA,NA,NA,66.9446029663086,0.517985582351685,-0.0382215306162834
"grid","NG 24","natural",113,"sample",NA,NA,NA,57.0107955932617,0.460251033306122,-0.0490007437765598
"grid","NG 25","natural",119,"sample",100,"AVI2 281-300",NA,61.3829040527344,0.485661417245865,-0.063237190246582
"grid","NG 26","natural",86,"sample",NA,NA,NA,64.4361267089844,0.503406524658203,-0.0125386351719499
"grid","NG 27","natural",85,"sample",NA,NA,NA,57.0222206115723,0.460317462682724,-0.0908923745155334
"grid","NG 28","natural",83,"sample",NA,NA,NA,46.4947090148926,0.399132311344147,-0.0475139580667019
"grid","NG 29","natural",120,"marsh",NA,NA,NA,56.9103202819824,0.459667086601257,-0.0195606276392937
"grid","NG 30","natural",121,"sample",0,"AVI2 261-280",NA,25.257833480835,0.275705188512802,-0.0595825649797916
"grid","NG 31","natural",123,"sample",0,"AVI2 221-240","sandy",6.52094841003418,0.166807785630226,-0.0244110096246004
"grid","NG 32","natural",114,"sample",0,"AVI2 201-220","sandy",9.87564277648926,0.186305031180382,-0.0354178659617901
"random","NR 33","natural",NA,"no",NA,NA,NA,15.7962512969971,0.220715165138245,-0.0592059157788754
"random","NR 34","natural",NA,"no",NA,NA,NA,38.4431915283203,0.352337509393692,-0.0406551510095596
"random","NR 35","natural",NA,"no",NA,NA,NA,58.8793792724609,0.471111118793488,-0.0640512555837631
"random","NR 36","natural",138,"sample",NA,NA,NA,64.7436065673828,0.505193591117859,-0.0445298291742802
"random","NR 37","natural",134,"sample",NA,NA,NA,46.9005317687988,0.401490956544876,-0.06870087236166
"random","NR 38","natural",NA,"creek",NA,NA,NA,63.4885292053223,0.497899144887924,-0.0443882383406162
"random","NR 39","natural",127,"sample",NA,NA,NA,65.7970962524414,0.511316418647766,-0.00401922315359116
"random","NR 40","natural",136,"sample",NA,NA,NA,64.6272583007812,0.504517376422882,-0.0162833016365767
"random","NR 41","natural",133,"sample",NA,NA,NA,66.2702789306641,0.514066517353058,-0.03066486120224
"random","NR 42","natural",125,"sample",NA,NA,NA,54.9161148071289,0.44807693362236,-0.0480911284685135
"random","NR 43","natural",117,"sample",100,"AVI2 321-340",NA,62.7229690551758,0.493449777364731,-0.0362715721130371
"random","NR 44","natural",130,"sample",0,"AVI2 361-380",NA,57.2841110229492,0.461839526891708,-0.0320472940802574
"random","NR 45","natural",91,"sample",NA,NA,NA,56.1994209289551,0.455535382032394,-0.0264193527400494
"random","NR 46","natural",93,"sample",NA,NA,NA,61.8177947998047,0.488188982009888,-0.0541834235191345
"random","NR 47","natural",112,"sample",NA,NA,NA,64.4601440429688,0.503546118736267,-0.0286549646407366
"random","NR 48","natural",88,"sample",NA,NA,NA,59.1997299194336,0.472972959280014,-0.0352373607456684
"random","NR 49","natural",124,"sample",NA,NA,NA,65.3332748413086,0.50862067937851,-0.0193989463150501
"random","NR 50","natural",NA,"marsh",NA,NA,NA,53.4815635681152,0.439739406108856,-0.0528182461857796
"random","NR 51","natural",87,"sample",NA,NA,NA,61.7966079711914,0.488065838813782,-0.0379865281283855
"random","NR 52","natural",122,"sample",100,"AVI2 241-260",NA,42.3424987792969,0.375,-0.0507138185203075
"random","NR 53","natural",84,"sample",NA,NA,NA,61.0241966247559,0.483576655387878,-0.0187687072902918
"grid","RG 1","rewilded",5,"sample",NA,NA,NA,38.3621597290039,0.351866573095322,0.00659934431314468
"grid","RG 2","rewilded",6,"sample",NA,NA,NA,14.8734331130981,0.215351805090904,-0.0763869360089302
"grid","RG 3","rewilded",16,"sample",NA,NA,"edge bare and seagrass",0,0.113759480416775,-0.0368062406778336
"grid","RG 4","rewilded",17,"sample",NA,NA,NA,1.80412125587463,0.13939394056797,-0.0114438598975539
"grid","RG 5","rewilded",25,"sample",100,"41-60",NA,19.0502967834473,0.239627435803413,-0.0125453928485513
"grid","RG 6","rewilded",26,"sample",0,"A21-A40",NA,32.6332778930664,0.318570703268051,-0.00406368728727102
"grid","RG 7","rewilded",39,"sample",0,"A41-A60",NA,2.35132670402527,0.14257425069809,-0.0118187582120299
"grid","RG 8","rewilded",40,"sample",0,"A61-A50",NA,5.64488458633423,0.161716178059578,-0.0450862385332584
"grid","RG 9","rewilded",4,"sample",NA,NA,NA,27.6691589355469,0.289719611406326,-0.0626591742038727
"grid","RG 10","rewilded",7,"sample",NA,NA,NA,33.9070892333984,0.325974017381668,-0.0656377822160721
"grid","RG 11","rewilded",14,"sample",NA,NA,NA,8.65620517730713,0.179217740893364,-0.0239085592329502
"grid","RG 12","rewilded",19,"sample",100,NA,"info spectral cam notes Laurant",38.3400802612305,0.35173824429512,-0.0208089258521795
"grid","RG 13","rewilded",23,"sample",100,"A1-A20",NA,45.4701614379883,0.39317774772644,-0.0418918803334236
"grid","RG 14","rewilded",28,"sample",NA,NA,NA,33.6289367675781,0.324357390403748,-0.0679353103041649
"grid","RG 15","rewilded",37,"sample",NA,NA,NA,36.391674041748,0.340414226055145,-0.0333385318517685
"grid","RG 16","rewilded",36,"sample",50,"A121-A140",NA,0,0.120048016309738,-0.0681430846452713
"grid","RG 17","rewilded",3,"sample",NA,NA,NA,47.9897193908691,0.407821238040924,-0.0208723433315754
"grid","RG 18","rewilded",10,"sample",NA,NA,NA,52.8658790588379,0.43616110086441,-0.0389188677072525
"grid","RG 19","rewilded",13,"sample",NA,NA,NA,45.6249656677246,0.394077450037003,-0.0792435109615326
"grid","RG 20","rewilded",NA,"marsh",NA,NA,"marsh",11.6678686141968,0.196721315383911,-0.021031754091382
"grid","RG 21","rewilded",20,"sample",NA,NA,NA,20.4576759338379,0.247807011008263,0.000233826067415066
"grid","RG 22","rewilded",30,"sample",50,"A180-A200",NA,5.58379793167114,0.161361142992973,-0.00153642205987126
"grid","RG 23","rewilded",34,"sample",0,"A141-A160",NA,17.1376934051514,0.228511527180672,-0.0209546759724617
"grid","RG 24","rewilded",82,"sample",NA,NA,NA,22.7265796661377,0.260993719100952,-0.0466597899794579
"grid","RG 25","rewilded",1,"sample",NA,NA,NA,45.6340026855469,0.394129991531372,-0.0552335940301418
"grid","RG 26","rewilded",NA,"marsh",NA,NA,"marsh",27.4607830047607,0.28850856423378,-0.0591148138046265
"grid","RG 27","rewilded",NA,"marsh",NA,NA,"marsh",2.8237931728363,0.145320191979408,-0.0126284901052713
"grid","RG 28","rewilded",NA,"no",NA,NA,NA,39.3639755249023,0.357689052820206,-0.0932892113924026
